a,m,d,h,temp,hum,precip,viento
2014,12,31,20,22.49,80.56,0.0,3.78
2014,12,31,21,22.31,80.56,0.0,3.38
2014,12,31,22,22.2,81.06,0.0,3.51
2014,12,31,23,22.11,81.12,0.0,3.62
2015,1,1,0,22.05,79.94,0.0,3.48
2015,1,1,1,22.03,78.25,0.0,3.3
2015,1,1,2,21.97,77.19,0.0,3.46
2015,1,1,3,21.87,77.25,0.0,4.15
2015,1,1,4,21.67,78.31,0.0,5.3
2015,1,1,5,21.55,78.81,0.0,6.71
2015,1,1,6,21.54,78.75,0.04,7.94
2015,1,1,7,21.51,77.94,0.09,9.17
2015,1,1,8,21.62,72.25,0.0,10.06
2015,1,1,9,21.87,64.0,0.02,10.06
2015,1,1,10,21.55,62.12,0.04,10.85
2015,1,1,11,20.76,64.81,0.36,10.41
2015,1,1,12,21.4,60.06,0.22,9.12
2015,1,1,13,22.67,51.5,0.02,9.29
2015,1,1,14,23.38,46.69,0.03,9.86
2015,1,1,15,23.5,45.94,0.0,10.67
2015,1,1,16,23.55,46.31,0.0,11.02
2015,1,1,17,23.18,48.19,0.0,10.83
2015,1,1,18,22.41,53.56,0.0,10.19
2015,1,1,19,21.73,59.69,0.0,9.41
2015,1,1,20,21.29,64.88,0.0,8.9
2015,1,1,21,20.62,69.81,0.0,9.23
2015,1,1,22,19.87,73.12,0.0,9.22
2015,1,1,23,19.26,75.5,0.0,8.45
2015,1,2,0,18.61,77.44,0.0,8.03
2015,1,2,1,17.92,79.19,0.0,7.58
2015,1,2,2,17.42,80.12,0.0,7.62
2015,1,2,3,17.07,80.62,0.0,7.89
2015,1,2,4,16.66,81.88,0.0,8.22
2015,1,2,5,16.61,81.69,0.0,8.75
2015,1,2,6,17.0,78.25,0.0,8.93
2015,1,2,7,17.55,74.56,0.0,8.27
2015,1,2,8,18.31,69.0,0.0,6.8
2015,1,2,9,19.21,63.19,0.0,5.79
2015,1,2,10,20.25,58.31,0.0,5.88
2015,1,2,11,21.32,54.0,0.0,6.33
2015,1,2,12,22.31,50.25,0.0,6.66
2015,1,2,13,23.19,47.12,0.0,6.73
2015,1,2,14,23.89,44.81,0.0,6.59
2015,1,2,15,24.39,43.19,0.0,6.34
2015,1,2,16,24.73,42.12,0.0,6.08
2015,1,2,17,24.69,42.69,0.0,5.7
2015,1,2,18,24.04,47.56,0.0,5.25
2015,1,2,19,23.23,52.0,0.0,5.36
2015,1,2,20,22.76,54.5,0.0,5.26
2015,1,2,21,22.24,56.44,0.0,4.8
2015,1,2,22,21.7,58.12,0.0,4.37
2015,1,2,23,21.22,59.12,0.0,3.98
2015,1,3,0,20.89,58.0,0.0,3.15
2015,1,3,1,20.69,54.44,0.0,1.99
2015,1,3,2,20.71,50.44,0.0,0.81
2015,1,3,3,20.81,49.06,0.0,0.65
2015,1,3,4,20.64,52.56,0.0,1.74
2015,1,3,5,20.66,59.06,0.0,3.01
2015,1,3,6,21.23,58.0,0.0,4.26
2015,1,3,7,21.85,56.88,0.0,5.31
2015,1,3,8,22.69,54.31,0.0,6.18
2015,1,3,9,23.63,51.5,0.0,6.95
2015,1,3,10,24.53,48.88,0.0,7.66
2015,1,3,11,25.3,46.75,0.0,8.02
2015,1,3,12,25.94,45.06,0.0,8.04
2015,1,3,13,26.47,44.12,0.0,7.75
2015,1,3,14,26.79,44.31,0.0,7.27
2015,1,3,15,26.84,46.38,0.0,6.8
2015,1,3,16,26.77,49.5,0.0,6.29
2015,1,3,17,26.53,53.94,0.0,5.5
2015,1,3,18,25.77,60.06,0.0,4.7
2015,1,3,19,24.99,64.38,0.0,4.71
2015,1,3,20,24.49,66.88,0.0,4.58
2015,1,3,21,24.05,69.38,0.0,4.17
2015,1,3,22,23.45,74.19,0.0,4.26
2015,1,3,23,22.61,78.94,0.0,5.74
2015,1,4,0,21.15,80.31,0.0,8.51
2015,1,4,1,19.32,85.94,0.0,9.4
2015,1,4,2,18.25,90.06,0.0,8.76
2015,1,4,3,17.9,89.81,0.0,7.78
2015,1,4,4,17.79,88.31,0.0,7.0
2015,1,4,5,17.94,85.62,0.0,6.31
2015,1,4,6,18.51,81.44,0.0,5.22
2015,1,4,7,19.25,77.44,0.0,4.29
2015,1,4,8,20.05,73.94,0.0,3.64
2015,1,4,9,20.98,70.19,0.0,3.16
2015,1,4,10,21.98,65.81,0.0,2.75
2015,1,4,11,22.76,61.69,0.0,2.47
2015,1,4,12,23.32,58.25,0.0,2.52
2015,1,4,13,23.76,55.31,0.0,2.67
2015,1,4,14,24.13,53.12,0.0,3.04
2015,1,4,15,24.4,52.19,0.0,3.76
2015,1,4,16,24.4,53.56,0.0,4.83
2015,1,4,17,23.76,58.62,0.0,6.19
2015,1,4,18,22.5,66.31,0.0,7.35
2015,1,4,19,21.26,72.88,0.0,7.69
2015,1,4,20,20.83,74.88,0.0,7.3
2015,1,4,21,20.81,74.94,0.0,6.94
2015,1,4,22,20.83,75.44,0.0,6.86
2015,1,4,23,20.8,76.0,0.0,6.86
2015,1,5,0,20.74,76.5,0.0,6.77
2015,1,5,1,20.6,77.25,0.0,6.59
2015,1,5,2,20.44,77.69,0.0,6.37
2015,1,5,3,20.37,78.75,0.0,6.28
2015,1,5,4,20.39,81.06,0.0,6.29
2015,1,5,5,21.03,81.81,0.0,6.49
2015,1,5,6,22.15,79.94,0.0,6.37
2015,1,5,7,23.49,76.62,0.0,6.37
2015,1,5,8,24.98,71.31,0.0,5.91
2015,1,5,9,26.44,65.38,0.0,5.52
2015,1,5,10,27.45,64.06,0.0,4.7
2015,1,5,11,28.04,63.31,0.0,4.26
2015,1,5,12,28.46,61.69,0.0,4.3
2015,1,5,13,28.78,60.5,0.0,4.46
2015,1,5,14,28.97,59.88,0.0,4.65
2015,1,5,15,28.99,60.0,0.0,4.88
2015,1,5,16,28.83,61.19,0.0,5.06
2015,1,5,17,28.35,64.38,0.0,4.95
2015,1,5,18,27.63,68.94,0.0,4.82
2015,1,5,19,26.98,72.38,0.0,5.38
2015,1,5,20,26.73,73.06,0.0,6.27
2015,1,5,21,26.38,74.25,0.0,6.85
2015,1,5,22,25.94,76.25,0.0,6.9
2015,1,5,23,25.5,78.44,0.0,6.73
2015,1,6,0,25.12,80.56,0.0,6.14
2015,1,6,1,24.83,82.38,0.0,5.9
2015,1,6,2,24.57,84.38,0.09,5.99
2015,1,6,3,24.3,86.88,2.18,6.1
2015,1,6,4,24.23,88.5,0.87,6.72
2015,1,6,5,24.15,90.12,1.06,6.7
2015,1,6,6,24.12,91.62,1.8,6.14
2015,1,6,7,24.48,90.69,4.03,5.77
2015,1,6,8,24.91,89.88,0.02,5.17
2015,1,6,9,25.69,86.75,0.04,5.03
2015,1,6,10,26.27,85.62,0.07,4.36
2015,1,6,11,26.6,85.25,0.08,3.79
2015,1,6,12,26.87,84.81,0.11,3.52
2015,1,6,13,27.03,85.06,0.15,3.43
2015,1,6,14,27.06,85.94,0.21,3.28
2015,1,6,15,27.03,87.31,0.12,3.22
2015,1,6,16,27.01,88.62,0.15,3.47
2015,1,6,17,26.77,91.06,0.37,3.61
2015,1,6,18,26.46,93.12,0.23,4.72
