YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,TS,WS2M,CLRSKY_SFC_SW_DWN,PS,WS10M
2015,1,1,8.54,64.94,1.78,19.02,19.62,4.21,9.1,100.53,6.15
2015,1,2,7.51,62.69,0.0,18.11,19.2,2.98,9.55,101.28,4.42
2015,1,3,8.97,60.44,0.0,21.31,21.56,2.61,9.37,101.22,3.95
2015,1,4,9.46,64.94,0.0,20.99,22.71,2.6,9.3,101.39,3.7
2015,1,5,12.45,64.19,0.0,25.64,26.23,3.27,9.1,100.89,4.81
2015,1,6,17.88,86.31,16.63,25.8,25.65,2.64,8.45,100.61,3.91
2015,1,7,14.28,84.75,2.05,22.5,22.58,2.5,8.57,100.89,3.75
2015,1,8,14.47,72.56,0.39,25.6,25.97,1.59,8.8,100.82,2.36
2015,1,9,17.03,81.19,21.12,26.15,26.16,3.56,8.66,100.4,5.24
2015,1,10,11.54,64.06,0.0,24.13,24.64,1.61,8.92,100.84,2.5
2015,1,11,15.56,78.31,0.39,25.22,25.38,1.82,8.58,100.73,2.8
2015,1,12,14.89,71.88,0.0,26.56,27.05,2.12,9.21,100.75,3.19
2015,1,13,14.22,84.62,40.41,22.37,22.6,2.77,8.16,100.6,4.07
2015,1,14,14.1,76.75,1.67,24.27,25.02,1.97,8.52,100.97,2.87
2015,1,15,13.43,77.94,2.51,23.17,24.03,3.3,8.82,101.6,4.7
2015,1,16,15.14,76.19,0.8,25.55,25.8,2.31,8.5,100.98,3.5
2015,1,17,12.15,72.5,0.7,22.6,23.41,3.14,8.64,101.18,4.47
2015,1,18,13.55,77.94,12.88,23.03,23.26,2.52,8.61,101.02,3.78
2015,1,19,14.89,85.25,7.34,22.98,23.06,3.76,8.28,101.0,5.48
2015,1,20,9.7,73.0,0.29,19.21,20.25,3.59,9.01,101.84,5.13
2015,1,21,9.64,69.06,0.0,20.16,20.97,2.35,9.14,101.94,3.59
2015,1,22,11.11,71.19,0.0,22.07,22.55,3.34,8.97,101.72,4.94
2015,1,23,12.27,70.88,0.0,23.48,24.19,2.77,8.6,101.36,4.08
2015,1,24,13.0,69.5,0.0,25.0,25.87,1.45,8.59,100.97,2.29
2015,1,25,13.61,68.31,0.02,25.74,25.89,1.32,8.21,100.74,2.16
2015,1,26,15.44,69.5,0.4,27.53,27.7,1.66,7.98,100.58,2.68
2015,1,27,17.33,76.44,0.1,27.48,27.48,2.15,7.93,100.46,3.26
2015,1,28,13.24,84.75,54.57,20.69,20.76,4.13,7.94,100.76,6.06
2015,1,29,8.91,68.75,0.01,19.03,19.78,3.19,9.05,101.63,4.65
2015,1,30,9.52,70.75,0.0,19.57,20.45,2.17,8.96,101.78,3.31
2015,1,31,11.47,73.62,0.0,21.84,22.35,2.53,8.63,101.49,3.85
2015,2,1,12.76,74.44,0.0,23.34,23.84,2.48,8.28,101.28,3.78
2015,2,2,14.16,75.31,0.0,24.8,25.33,2.68,8.4,101.24,3.99
2015,2,3,13.98,73.44,0.0,25.04,25.39,3.38,8.38,101.04,4.94
2015,2,4,15.32,77.19,3.44,25.47,26.22,2.98,8.16,100.75,4.31
2015,2,5,15.32,74.88,1.22,26.0,27.06,1.66,8.07,100.76,2.5
2015,2,6,14.4,69.31,0.0,26.48,27.58,2.2,8.21,100.85,3.2
2015,2,7,13.31,65.12,0.0,26.48,27.5,2.32,8.23,100.83,3.4
2015,2,8,13.37,65.88,0.03,26.46,27.15,2.35,7.98,100.58,3.49
2015,2,9,11.72,58.69,0.78,26.56,27.95,1.67,8.3,100.53,2.5
2015,2,10,9.52,61.38,2.66,21.61,21.58,2.27,8.1,101.06,3.38
2015,2,11,9.16,58.0,0.04,23.07,23.95,2.25,8.41,101.07,3.51
2015,2,12,9.95,54.25,0.19,24.83,25.6,4.02,8.06,100.98,5.87
2015,2,13,7.63,56.06,0.11,20.39,22.01,3.42,8.45,101.72,4.88
2015,2,14,9.03,60.06,0.0,21.71,23.18,3.62,8.08,101.66,5.15
2015,2,15,10.56,64.12,0.0,23.15,24.3,3.42,7.87,101.55,4.92
2015,2,16,11.84,65.0,0.0,24.52,25.65,3.23,7.78,101.37,4.66
2015,2,17,11.78,62.38,0.0,25.6,26.9,2.6,7.73,101.01,3.82
2015,2,18,12.21,65.94,7.63,24.21,24.97,4.09,7.53,100.44,5.86
2015,2,19,8.42,68.12,11.15,18.01,18.69,4.11,7.89,100.87,5.91
2015,2,20,6.96,60.38,0.02,17.69,18.97,2.77,8.08,101.63,4.05
2015,2,21,10.86,69.88,0.97,21.91,22.74,1.52,7.49,101.68,2.4
2015,2,22,10.8,60.44,0.0,24.62,24.83,0.73,7.57,101.5,1.14
2015,2,23,11.9,60.81,0.01,26.34,26.63,0.85,7.57,101.26,1.4
2015,2,24,13.37,64.31,0.0,27.16,28.0,1.97,7.5,101.03,3.09
2015,2,25,13.79,79.12,1.26,23.12,23.25,4.02,7.29,101.14,5.94
2015,2,26,13.31,79.12,1.04,22.69,23.31,2.58,7.03,101.0,3.73
2015,2,27,9.64,60.06,0.0,22.99,23.98,3.29,7.51,101.26,4.76
2015,2,28,8.12,56.62,0.0,21.37,22.63,2.34,7.61,101.57,3.52
2015,3,1,11.84,71.69,1.33,22.63,22.8,2.67,6.95,101.06,4.04
2015,3,2,12.08,67.5,0.22,24.48,25.19,1.93,7.11,100.78,2.82
2015,3,3,15.99,87.31,21.03,23.62,23.17,2.99,6.84,100.67,4.43
2015,3,4,13.0,76.19,0.89,23.23,23.62,3.15,6.79,100.8,4.61
2015,3,5,12.15,74.88,0.0,22.54,23.22,2.22,7.15,101.27,3.4
2015,3,6,11.29,69.0,0.0,23.12,23.46,2.3,7.27,101.22,3.65
2015,3,7,11.9,70.0,0.0,23.57,24.29,1.98,7.19,101.1,3.13
2015,3,8,12.02,67.56,0.0,24.49,25.32,2.03,7.2,101.13,3.14
2015,3,9,13.0,70.69,0.0,24.76,25.44,2.48,6.94,101.24,3.59
2015,3,10,13.92,69.38,0.01,26.35,27.37,2.52,6.81,101.2,3.69
2015,3,11,13.79,69.75,0.0,26.07,27.13,2.33,6.85,101.11,3.48
2015,3,12,12.21,65.12,0.01,25.63,26.54,2.2,6.86,100.88,3.38
2015,3,13,11.6,61.81,0.0,25.71,26.47,2.62,6.83,100.7,3.95
2015,3,14,12.82,74.12,0.32,23.16,23.52,2.73,6.29,101.05,3.98
2015,3,15,9.7,61.88,0.0,22.6,23.9,2.91,6.63,101.38,4.18
2015,3,16,11.47,65.5,0.0,24.45,25.56,2.1,6.68,101.32,3.23
2015,3,17,12.94,64.19,0.0,26.86,27.76,2.36,6.46,101.36,3.56
2015,3,18,11.11,58.81,0.0,25.93,26.95,2.34,6.42,101.39,3.48
